provincia,indicativo,nombre,latitud,longitud,altitud
A CORUÑA,1351,ESTACA DE BARES,434710N,074106W,90
ALBACETE,4007Y,OSSA DE MONTIEL,385757N,024442W,905
ALICANTE,7244X,ORIHUELA,380404N,005853W,26
ALMERIA,5060X,VÉLEZ BLANCO - TOPARES,375139N,021341W,1190
ARABA/ALAVA,1044X,"ARAMAIO, ETXAGUEN",430328N,023523W,617
ASTURIAS,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",431415N,044412W,1236
AVILA,2430Y,MUÑOTELLO,403236N,050239W,1178
BADAJOZ,4260,PERALEDA DEL ZAUCEJO,382847N,053439W,542
BALEARES,B278,"PALMA DE MALLORCA, AEROPUERTO",393339N,024412E,5
BARCELONA,0061X,PONTONS,412501N,013109E,632
BIZKAIA,1055B,LEKEITIO,432237N,023037W,12
BURGOS,2106B,CORUÑA DEL CONDE,414445N,032255W,955
CACERES,3386A,NAVALVILLAR DE IBOR,393530N,052330W,923
CADIZ,5906X,CHIPIONA,364500N,062402W,10
CANTABRIA,1083L,CASTRO URDIALES,432341N,031402W,45
CASTELLON,8439X,SEGORBE,394744N,002907W,400
CEUTA,5000C,CEUTA,355319N,052049W,87
CIUDAD REAL,4064Y,ALCAZAR DE SAN JUAN,392327N,031257W,640
CORDOBA,4263X,VALSEQUILLO,382434N,052102W,575
CUENCA,3040Y,BETETA,403418N,020435W,1214
GIPUZKOA,1012P,IRUN,431935N,014748W,120
GIRONA,0281Y,BLANES,414037N,024818E,45
GRANADA,5103E,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA",370930N,031525W,2152
GUADALAJARA,3021Y,ZAOREJAS,404530N,021159W,1250
HUELVA,4527X,AROCHE,375849N,065833W,267
HUESCA,9198X,CANFRANC,424458N,003058W,1197
ILLES BALEARS,B051A,"SÓLLER, PUERTO",394744N,024129E,5
JAEN,5038X,CAZORLA,375457N,030014W,782
LA RIOJA,9121X,HARO,423431N,025117W,465
LAS PALMAS,C018J,TÍAS,285811N,134125W,376
LEON,1178Y,"POSADA DE VALDEÓN, SOTO ",430843N,045554W,953
LLEIDA,9590D,CAP DE REC,422549N,014003E,1940
LUGO,1297E,CERVANTES,424607N,070103W,1020
MADRID,2462,PUERTO DE NAVACERRADA,404735N,040038W,1893
MALAGA,6032X,RONDA INSTITUTO,364460N,051007W,760
MELILLA,6000A,MELILLA,351635N,025723W,52
MURCIA,7002Y,ÁGUILAS,372502N,013513W,32
NAVARRA,1002Y,"BAZTAN, IRURITA ",430809N,013235W,183
OURENSE,1583X,O BARCO DE VALDEORRAS,422456N,065935W,315
PALENCIA,2235U,CERVERA DE PISUERGA,425214N,043112W,1140
PONTEVEDRA,1465U,LALIN-CRISTIMIL,423956N,081133W,463
SALAMANCA,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",402118N,054124W,1960
SANTA CRUZ DE TENERIFE,C139E,LA PALMA AEROPUERTO,283759N,174518W,33
SEGOVIA,2135A,FRESNO DE CANTESPINO,412222N,033026W,993
SEVILLA,5612B,LA RODA DE ANDALUCÍA,371140N,044612W,410
SORIA,2005Y,"VINUESA, QUINTANAREJO",415804N,024658W,1197
STA. CRUZ DE TENERIFE,C101A,ROQUE DE LOS MUCHACHOS,284521N,175343W,2223
TARRAGONA,0009X,ALFORJA,411250N,005748E,406
TERUEL,8354X,ALBARRACÍN,402511N,012629W,1130
TOLEDO,3099Y,OCAÑA,395607N,032946W,733
VALENCIA,8005X,FONTANARS DELS ALFORINS,384648N,004745W,622
VALLADOLID,2166Y,PEÑAFIEL,413535N,040729W,756
ZAMORA,2536D,MORALES DEL TORO,413254N,051617W,710
ZARAGOZA,9244X,SOS DEL REY CATÓLICO,422927N,011248W,626
